Year	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Score	College_ID
2017	6.1	5.5	TRUE	11.6	0.8991629529228945	3
2017	5.2	4.7	FALSE	9.9	-0.0028665572344319496	25
2017	5.9	6	FALSE	11.9	1.0583446311859526	17
2017	4.9	5.3	FALSE	10.2	0.15631512102862516	28
2017	5.4	6	TRUE	11.4	0.7930418340808565	22
2017	6.6	6.5	TRUE	13.1	1.6950713442381828	27
2017	5.6	5.1	FALSE	10.7	0.4216179181337213	6
2017	5.6	5.7	FALSE	11.3	0.7399812746598374	6
2017	4.9	6.7	TRUE	11.600000000000001	0.8991629529228955	9
2017	6.6	8	TRUE	14.6	2.4909797355534713	9
2017	5.9	6	TRUE	11.9	1.0583446311859526	11
2017	4.9	3.9	FALSE	8.8	-0.5865327108656433	23
2017	6.6	5.3	FALSE	11.899999999999999	1.0583446311859517	3
2017	4.9	5.3	FALSE	10.2	0.15631512102862516	14
2017	9	6.5	TRUE	15.5	2.9685247703426447	6
2017	6.6	6	TRUE	12.6	1.4297685471330868	3
2017	4.9	4.5	FALSE	9.4	-0.2681693543395281	15
2017	4.5	5.5	FALSE	10	0.05019400218658709	6
2017	3.5	4.5	FALSE	8	-1.0110171862337975	1
2017	7.8	5.7	FALSE	13.5	1.90731358192226	9
2017	4	2.5	FALSE	6.5	-1.8069255775490858	10
2017	6.1	5.1	TRUE	11.2	0.6869207152388175	9
2017	5.4	6.7	FALSE	12.100000000000001	1.1644657500279916	25
2017	4.7	4.5	FALSE	9.2	-0.3742904731815671	3
2017	5.4	4.7	FALSE	10.100000000000001	0.10325456160760707	23
2017	4.9	3.2	FALSE	8.100000000000001	-0.9579566268127775	5
2017	4.7	4.7	FALSE	9.4	-0.2681693543395281	17
2017	4.3	5.5	FALSE	9.8	-0.05592711665545099	23
2017	6.3	5.7	FALSE	12	1.1114051906069715	18
2017	4.7	4.5	FALSE	9.2	-0.3742904731815671	3
2017	5.6	5.3	FALSE	10.899999999999999	0.5277390369757594	9
2017	3.8	4.7	FALSE	8.5	-0.7457143891287014	1
2017	5.9	6.2	TRUE	12.100000000000001	1.1644657500279916	3
2017	6.6	5.1	FALSE	11.7	0.9522235123439136	9
2017	5.4	4.1	FALSE	9.5	-0.21510879491850904	17
2017	4	5.1	FALSE	9.1	-0.42735103260258617	22
2017	5.6	5.5	FALSE	11.1	0.6338601558177984	6
2017	3.5	3.4	FALSE	6.9	-1.5946833398650087	13
2017	6.1	3.9	FALSE	10	0.05019400218658709	27
2017	5.6	6.7	TRUE	12.3	1.2705868688700297	9
2017	6.6	4.9	FALSE	11.5	0.8461023935018754	25
2017	3.5	5.3	FALSE	8.8	-0.5865327108656433	7
2017	4.3	5.1	FALSE	9.399999999999999	-0.26816935433952904	10
2017	4.7	4.9	FALSE	9.600000000000001	-0.16204823549748906	8
2017	4.3	4.5	FALSE	8.8	-0.5865327108656433	16
2017	6.3	5.5	FALSE	11.8	1.0052840717649336	1
2017	5.4	6.7	TRUE	12.100000000000001	1.1644657500279916	7
2017	6.1	5.3	FALSE	11.399999999999999	0.7930418340808555	5
2017	4.9	4.9	FALSE	9.8	-0.05592711665545099	9
2017	5.4	4.3	TRUE	9.7	-0.10898767607647097	25
2017	7.1	6.2	TRUE	13.3	1.8011924630802219	27
2017	5.9	7.1	TRUE	13	1.642010784817164	3
2017	4.9	4.3	FALSE	9.2	-0.3742904731815671	23
2017	4.7	6	TRUE	10.7	0.4216179181337213	5
2017	5.6	5.7	FALSE	11.3	0.7399812746598374	7
2017	5.9	6.5	FALSE	12.4	1.3236474282910486	19
2017	7.1	6.2	TRUE	13.3	1.8011924630802219	9
2017	5.2	5.7	TRUE	10.9	0.5277390369757603	23
2017	4.7	5.5	FALSE	10.2	0.15631512102862516	3
2017	4.7	4.3	FALSE	9	-0.48041159202360517	2
2017	6.1	3.4	FALSE	9.5	-0.21510879491850904	3
2017	4.7	5.3	FALSE	10	0.05019400218658709	4
2017	3.3	4.3	FALSE	7.6	-1.2232594239178745	12
