Year	Candidate	College	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Candidate_ID
2017	100555	Selwyn	4.9	3.7	FALSE	8.600000000000001	554
2017	100556	Selwyn	4.7	4.5	FALSE	9.2	555
2017	100557	Wolfson	4	2.9	FALSE	6.9	556
2017	100558	St John's	4.7	4.5	FALSE	9.2	557
2017	100559	St John's	3.5	4.7	FALSE	8.2	558
2017	100560	St John's	3.3	4.5	FALSE	7.8	559
2017	100561	St John's	5.2	6.2	TRUE	11.4	560
2017	100562	St John's	5.9	6.2	TRUE	12.100000000000001	561
2017	100563	St John's	5.2	3.7	FALSE	8.9	562
2017	100564	Sidney Sussex	5.4	4.9	TRUE	10.3	563
2017	100565	Peterhouse	3.5	4.5	FALSE	8	564
2017	100566	Girton	5.9	5.1	FALSE	11	565
2017	100567	Churchill	3.5	4.5	FALSE	8	566
2017	100568	Homerton	6.6	5.5	FALSE	12.1	567
2017	100569	Christ's	4.7	5.3	FALSE	10	568
2017	100570	Christ's	5.4	4.5	FALSE	9.9	569
2017	100571	Gonville and Caius	5.4	5.1	FALSE	10.5	570
2017	100572	Gonville and Caius	5.9	4.3	FALSE	10.2	571
2017	100573	Gonville and Caius	4.7	5.3	FALSE	10	572
2017	100574	Gonville and Caius	3.5	3.7	FALSE	7.2	573
2017	100575	Gonville and Caius	5.9	5.7	FALSE	11.600000000000001	574
2017	100576	Gonville and Caius	4.7	3.9	FALSE	8.6	575
2017	100577	Gonville and Caius	4.5	4.7	FALSE	9.2	576
2017	100578	Gonville and Caius	3.8	3.2	FALSE	7	577
2017	100579	Gonville and Caius	5.9	6	TRUE	11.9	578
2017	100580	Gonville and Caius	5.2	4.1	FALSE	9.3	579
2017	100581	Gonville and Caius	4.3	4.3	FALSE	8.6	580
2017	100582	Gonville and Caius	4	4.9	FALSE	8.9	581
2017	100583	Gonville and Caius	5.6	4.1	FALSE	9.7	582
2017	100584	Gonville and Caius	6.3	6.2	TRUE	12.5	583
2017	100585	Gonville and Caius	6.1	6.2	TRUE	12.3	584
2017	100586	Clare	6.1	6	FALSE	12.1	585
2017	100587	Clare	4.9	4.1	FALSE	9	586
2017	100588	Downing	6.1	6.2	TRUE	12.3	587
2017	100589	Downing	5.4	4.3	FALSE	9.7	588
